,date,open,close,high,low,volume
0,2010-01-04, 
1,2010-01-05, 
2,2010-01-06, 
3,2010-01-07, 
4,2010-01-08, 
5,2010-01-11, 
6,2010-01-12, 
7,2010-01-13,
8,2010-01-14, 
9,2010-01-15, 
10,2010-01-18, 
11,2010-01-19, 
12,2010-01-20, 
13,2010-01-21, 
14,2010-01-22, 
15,2010-01-25, 
16,2010-01-26, 
17,2010-01-27, 
18,2010-01-28, 
19,2010-01-29, 
20,2010-02-01, 
21,2010-02-02, 
22,2010-02-04, 
23,2010-02-05, 
24,2015-02-06, 
25,2015-02-09, 
26,2015-02-10, 
27,2015-02-11, 
28,2015-02-12, 
29,2015-02-13, 
30,2015-02-16, 
31,2010-02-24,
32,2010-02-25,
33,2010-02-26, 
34,2010-03-01, 
35,2010-03-03, 
36,2010-03-04, 
37,2010-03-05, 
38,2010-03-08, 
39,2010-03-09, 
40,2010-03-10, 
41,2010-03-11, 
42,2010-03-12, 
43,2010-03-15, 
44,2010-03-16, 
45,2010-03-17, 
46,2010-03-18, 
47,2010-03-19, 
48,2010-03-22, 
49,2010-03-23, 
50,2010-03-24, 
51,2010-03-25, 
52,2010-03-26, 
53,2010-03-29, 
54,2010-03-30, 
55,2010-03-31,
56,2010-04-01, 
57,2010-04-02, 
58,2010-04-06, 
59,2010-04-07, 
60,2010-04-08, 
61,2010-04-09, 
62,2010-04-12,  
64,2010-04-14, 
63,2010-04-13,
65,2010-04-15, 
66,2010-04-16, 
67,2010-04-19, 
68,2010-04-20, 
69,2010-04-21, 
70,2010-04-22, 
71,2010-04-23,6.097,6.123,6.203,6.062,28699.86,002233
72,2010-04-26,6.123,6.066,6.15,6.044,21329.6,002233
73,2010-04-27,6.071,5.824,6.071,5.714,29479.53,002233
74,2010-04-28,5.727,5.873,5.93,5.705,15719.33,002233
75,2010-04-29,5.917,5.789,5.943,5.785,19161.47,002233
76,2010-04-30,5.798,5.622,5.851,5.543,19710.67,002233
77,2010-05-04,5.534,5.49,5.657,5.477,12577.75,002233
78,2010-05-05,5.485,5.56,5.587,5.384,26012.71,002233
79,2010-05-06,5.565,5.244,5.573,5.23,24506.55,002233
80,2010-05-07,5.191,5.002,5.191,4.997,26884.11,002233
81,2010-05-10,5.081,5.054,5.266,5.041,92992.42,002233
82,2010-05-11,5.178,5.09,5.186,5.037,39173.22,002233
83,2010-05-12,5.019,4.988,5.059,4.865,27094.65,002233
84,2010-05-13,4.993,5.164,5.173,4.931,33275.24,002233
85,2010-05-14,5.098,5.072,5.169,5.01,30704.61,002233
86,2010-05-17,4.993,4.566,4.993,4.566,29509.59,002233
87,2010-05-18,4.575,4.667,4.711,4.412,28329.03,002233
88,2010-05-19,4.571,4.597,4.689,4.531,18766.53,002233
89,2010-05-20,4.549,4.83,5.041,4.531,87173.49,002233
90,2010-05-21,4.645,4.94,5.002,4.593,48613.65,002233
91,2010-05-24,4.962,5.12,5.208,4.962,53574.91,002233
92,2010-05-25,5.059,5.006,5.094,4.949,33835.82,002233
93,2010-05-26,5.006,4.953,5.059,4.914,20615.71,002233
94,2010-05-27,4.949,5.01,5.024,4.843,23023.0,002233
95,2010-05-28,5.063,5.085,5.156,5.024,39179.22,002233
96,2010-05-31,5.054,4.962,5.213,4.962,46195.81,002233
97,2010-06-01,4.905,4.76,4.918,4.636,31120.97,002233
98,2010-06-02,4.663,4.812,4.821,4.654,14260.66,002233
99,2010-06-04,4.702,4.768,4.786,4.641,18601.74,002233
100,2010-06-07,4.672,4.672,4.738,4.645,14902.87,002233
101,2010-06-08,4.672,4.751,4.768,4.654,19818.75,002233
102,2010-06-09,4.751,4.927,4.953,4.751,31722.0,002233
103,2010-06-10,4.918,5.081,5.081,4.861,47514.14,002233
104,2010-06-11,5.05,4.997,5.103,4.962,36002.99,002233
105,2010-06-17,5.015,5.336,5.441,4.993,93445.42,002233
106,2010-06-18,5.301,5.138,5.305,5.103,51886.98,002233
107,2010-06-21,5.103,5.2,5.23,5.103,47361.56,002233
108,2010-06-22,5.217,5.283,5.428,5.213,64865.9,002233
109,2010-06-23,5.235,5.116,5.38,5.081,63706.92,002233
110,2010-06-24,5.059,5.195,5.235,5.05,34174.31,002233
111,2010-06-25,5.156,5.05,5.169,4.997,23873.03,002233
112,2010-06-28,5.015,4.944,5.147,4.927,24325.94,002233
113,2010-06-29,5.059,4.632,5.059,4.619,31592.78,002233
114,2010-06-30,4.601,4.483,4.601,4.439,17801.78,002233
115,2010-07-01,4.483,4.447,4.553,4.412,16301.79,002233
116,2010-07-02,4.447,4.408,4.522,4.227,21362.64,002233
117,2010-07-05,4.421,4.531,4.593,4.311,24298.18,002233
118,2010-07-06,4.509,4.579,4.619,4.491,23386.27,002233
119,2010-07-07,4.575,4.61,4.663,4.54,18167.21,002233
120,2010-07-08,4.61,4.535,4.65,4.518,20191.95,002233
121,2010-07-09,4.557,4.694,4.751,4.469,43795.82,002233
122,2010-07-12,4.672,4.764,4.839,4.636,34507.0,002233
123,2010-07-13,4.746,4.623,4.746,4.601,27599.48,002233
124,2010-07-14,4.636,4.72,4.742,4.636,33609.98,002233
125,2010-07-15,4.698,4.601,4.751,4.597,19300.48,002233
126,2010-07-16,4.588,4.601,4.641,4.496,19160.02,002233
127,2010-07-19,4.557,4.707,4.729,4.531,20321.71,002233
128,2010-07-20,4.72,4.944,4.993,4.72,57407.81,002233
129,2010-07-21,4.944,4.936,4.988,4.905,51216.72,002233
130,2010-07-22,4.931,4.962,5.002,4.87,31960.05,002233
131,2010-07-23,4.949,5.072,5.098,4.905,46226.23,002233
132,2010-07-26,5.041,5.081,5.169,4.966,47981.22,002233
133,2010-07-27,5.041,5.032,5.094,5.006,31753.78,002233
134,2010-07-28,5.032,5.252,5.279,4.971,88067.91,002233
135,2010-07-29,5.235,5.266,5.411,5.173,98688.53,002233
136,2010-07-30,5.257,5.195,5.257,5.125,41903.44,002233
137,2010-08-02,5.204,5.393,5.411,5.169,69800.63,002233
138,2010-08-03,5.402,5.244,5.424,5.244,50961.23,002233
139,2010-08-04,5.195,5.252,5.252,5.12,33959.5,002233
140,2010-08-05,5.252,5.336,5.367,5.204,53701.59,002233
141,2010-08-06,5.288,5.406,5.424,5.235,48585.96,002233
142,2010-08-09,5.415,5.472,5.569,5.402,64489.0,002233
143,2010-08-10,5.503,5.283,5.534,5.279,54140.72,002233
144,2010-08-11,5.279,5.27,5.332,5.222,32586.33,002233
145,2010-08-12,5.217,5.151,5.305,5.138,27897.38,002233
146,2010-08-13,5.156,5.283,5.301,5.112,39175.84,002233
147,2010-08-16,5.362,5.675,5.807,5.362,151151.82,002233
148,2010-08-17,5.705,5.71,5.763,5.578,111173.57,002233
149,2010-08-18,5.675,5.767,5.785,5.631,90897.58,002233
150,2010-08-19,5.767,5.683,5.785,5.631,66009.55,002233
151,2010-08-20,5.679,5.631,5.745,5.631,53158.93,002233
152,2010-08-23,5.631,5.723,5.793,5.631,69031.2,002233
153,2010-08-24,5.767,5.859,5.912,5.679,94650.22,002233
154,2010-08-25,5.82,5.719,5.833,5.609,72548.52,002233
155,2010-08-26,5.631,5.675,5.683,5.578,42827.0,002233
156,2010-08-27,5.688,5.908,6.005,5.591,97119.0,002233
157,2010-08-30,5.947,6.123,6.123,5.921,98853.0,002233
158,2010-08-31,6.031,6.062,6.154,6.027,51384.0,002233
159,2010-09-01,6.031,5.829,6.097,5.767,48324.0,002233
160,2010-09-03,5.947,5.873,6.009,5.811,49138.0,002233
161,2010-09-06,5.969,5.956,6.0,5.785,43282.0,002233
162,2010-09-07,5.877,6.348,6.387,5.877,142431.0,002233
163,2010-09-08,6.268,6.414,6.453,6.229,108920.0,002233
164,2010-09-09,6.378,6.339,6.524,6.264,93906.0,002233
165,2010-09-10,6.343,6.502,6.642,6.295,74052.0,002233
166,2010-09-13,6.55,6.585,6.594,6.449,52690.0,002233
167,2010-09-14,6.576,6.55,6.638,6.51,43310.0,002233
168,2010-09-15,6.572,6.29,6.598,6.277,35311.0,002233
169,2010-09-16,6.273,5.899,6.37,5.815,61019.0,002233
170,2010-09-17,5.895,5.917,5.996,5.864,29992.0,002233
171,2010-09-20,5.947,5.952,6.009,5.873,22924.0,002233
172,2010-09-21,5.952,6.097,6.097,5.921,21654.0,002233
173,2010-09-27,6.11,6.167,6.194,6.009,22998.0,002233
174,2010-09-28,6.145,6.097,6.22,6.071,19164.0,002233
175,2010-09-29,6.093,5.859,6.137,5.837,33074.0,002233
176,2010-09-30,5.829,5.881,5.917,5.798,15617.0,002233
177,2010-10-08,5.939,6.044,6.097,5.886,22847.0,002233
178,2010-10-11,6.066,6.216,6.264,5.983,54712.0,002233
