,date,open,close,high,low,volume,code
0,2010-01-04,7.304,7.19,7.312,7.15,47737.9,002233
1,2010-01-05,7.212,7.15,7.242,7.01,64917.09,002233
2,2010-01-06,7.133,7.071,7.207,7.036,66512.91,002233
3,2010-01-07,7.058,6.883,7.12,6.839,64682.51,002233
4,2010-01-08,6.839,6.887,6.949,6.734,45479.98,002233
5,2010-01-11,7.014,6.699,7.014,6.664,77192.73,002233
6,2010-01-12,6.686,6.835,6.878,6.672,64297.1,002233
7,2010-01-13,6.712,6.655,6.817,6.576,61524.11,002233
8,2010-01-14,6.655,6.865,6.865,6.655,46546.12,002233
9,2010-01-15,6.878,6.962,7.001,6.826,58670.68,002233
10,2010-01-18,6.962,7.085,7.102,6.944,60786.42,002233
11,2010-01-19,7.098,7.032,7.159,6.966,55658.75,002233
12,2010-01-20,7.014,6.707,7.014,6.694,67248.6,002233
13,2010-01-21,6.707,6.808,6.883,6.703,31240.82,002233
14,2010-01-22,6.743,6.532,6.76,6.383,63100.98,002233
15,2010-01-25,6.488,6.488,6.567,6.488,20954.58,002233
16,2010-01-26,6.497,6.252,6.558,6.216,25945.13,002233
17,2010-01-27,6.265,6.12,6.291,6.085,31407.08,002233
18,2010-01-28,6.12,6.19,6.225,6.116,19162.37,002233
19,2010-01-29,6.177,6.418,6.594,6.142,50581.78,002233
20,2010-02-01,6.515,6.519,6.655,6.418,63311.98,002233
21,2010-02-02,6.545,6.466,6.563,6.423,49566.73,002233
22,2010-02-04,6.558,6.747,6.83,6.471,74430.1,002233
23,2010-02-05,6.576,6.747,6.848,6.532,57791.03,002233
24,2010-02-08,6.716,6.791,6.892,6.707,49206.98,002233
25,2010-02-09,6.537,6.26,6.537,6.247,67417.17,002233
26,2010-02-10,6.33,6.278,6.33,6.181,29469.61,002233
27,2010-02-11,6.282,6.238,6.304,6.216,28051.09,002233
28,2010-02-12,6.203,6.339,6.344,6.203,25054.07,002233
29,2010-02-22,6.335,6.37,6.431,6.269,35427.17,002233
30,2010-02-23,6.344,6.357,6.366,6.225,22534.21,002233
31,2010-02-24,6.335,6.572,6.576,6.282,50062.31,002233
32,2010-02-25,6.585,6.62,6.633,6.532,51343.67,002233
33,2010-02-26,6.585,6.576,6.629,6.545,32306.78,002233
34,2010-03-01,6.602,6.615,6.707,6.585,42842.65,002233
35,2010-03-03,6.585,6.721,6.769,6.585,58952.58,002233
36,2010-03-04,6.734,6.401,6.778,6.33,50855.95,002233
37,2010-03-05,6.431,6.436,6.471,6.317,25814.04,002233
38,2010-03-08,6.444,6.506,6.523,6.431,16674.69,002233
39,2010-03-09,6.558,6.589,6.642,6.409,28706.35,002233
40,2010-03-10,6.633,6.475,6.633,6.444,23196.39,002233
41,2010-03-11,6.471,6.541,6.585,6.444,20488.67,002233
42,2010-03-12,6.558,6.44,6.558,6.436,18055.28,002233
43,2010-03-15,6.401,6.357,6.458,6.348,16696.19,002233
44,2010-03-16,6.366,6.335,6.418,6.3,12053.13,002233
45,2010-03-17,6.357,6.51,6.51,6.352,16001.23,002233
46,2010-03-18,6.51,6.607,6.607,6.488,39401.98,002233
47,2010-03-19,6.607,6.589,6.624,6.523,19775.19,002233
48,2010-03-22,6.637,6.637,6.664,6.537,25640.41,002233
49,2010-03-23,6.62,6.532,6.638,6.51,16985.91,002233
50,2010-03-24,6.532,6.678,6.761,6.51,52695.08,002233
51,2010-03-25,6.647,6.515,6.673,6.515,27914.36,002233
52,2010-03-26,6.519,6.563,6.66,6.475,22594.18,002233
53,2010-03-29,6.581,6.673,6.726,6.581,28577.02,002233
54,2010-03-30,6.686,6.849,6.902,6.678,85224.78,002233
55,2010-03-31,6.884,6.999,7.025,6.752,102625.63,002233
56,2010-04-01,7.016,6.942,7.021,6.889,79594.28,002233
57,2010-04-02,6.942,6.964,7.012,6.889,52155.67,002233
